Constituency,Total_Amount_Paid,Total_Jobs_Created,Cost Per Job
Ville-Marie - Le Sud-Ouest - Île-des-Soeurs,"1,913,923",414,"4,623.00"
Long Range Mountains,"1,807,700",448,"4,035.04"
Coast of Bays - Central - Notre Dame,"1,676,188",420,"3,990.92"
London-Centre-Nord,"1,626,934",360,"4,519.26"
Bonavista - Burin - Trinity,"1,566,115",372,"4,209.99"
Ottawa-Sud,"1,535,622",370,"4,150.33"
Mississauga - Erin Mills,"1,516,853",341,"4,448.25"
Ottawa-Centre,"1,495,592",329,"4,545.87"
St. John's-Sud - Mount Pearl,"1,494,810",371,"4,029.14"
Calgary Confederation,"1,467,792",417,"3,519.88"
Halifax,"1,465,792",367,"3,993.98"
Ottawa - Vanier,"1,433,302",336,"4,265.78"
Outremont,"1,420,939",293,"4,849.62"
Whitby,"1,404,896",346,"4,060.39"
Oshawa,"1,398,288",266,"5,256.72"
Avalon,"1,366,014",344,"3,970.97"
Edmonton Strathcona,"1,347,890",356,"3,786.21"
Durham,"1,346,170",368,"3,658.07"
Kingston et les Îles,"1,341,373",294,"4,562.49"
Laurier - Sainte-Marie,"1,340,785",263,"5,098.04"
Mississauga - Malton,"1,338,615",302,"4,432.50"
Windsor-Ouest,"1,312,450",295,"4,448.98"
Etobicoke-Nord,"1,298,742",262,"4,957.03"
Ottawa-Ouest - Nepean,"1,288,576",287,"4,489.81"
Brampton-Nord,"1,283,815",245,"5,240.06"
University - Rosedale,"1,281,657",283,"4,528.82"
Mississauga-Centre,"1,272,862",280,"4,545.94"
Toronto-Centre,"1,268,804",264,"4,806.08"
Guelph,"1,268,005",273,"4,644.71"
Mississauga - Streetsville,"1,266,473",297,"4,264.22"
Notre-Dame-de-Grâce - Westmount,"1,247,632",263,"4,743.85"
St. John's-Est,"1,224,526",296,"4,136.91"
Edmonton Griesbach,"1,220,079",279,"4,373.04"
Mississauga - Lakeshore,"1,216,236",288,"4,223.04"
London-Ouest,"1,216,148",336,"3,619.49"
Eglinton - Lawrence,"1,215,445",275,"4,419.80"
Papineau,"1,215,066",241,"5,041.77"
Niagara-Centre,"1,200,557",284,"4,227.31"
Edmonton-Centre,"1,199,333",252,"4,759.26"
Oakville,"1,197,021",300,"3,990.07"
London - Fanshawe,"1,189,438",270,"4,405.33"
Waterloo,"1,185,047",305,"3,885.40"
Ajax,"1,178,030",289,"4,076.23"
Brampton-Sud,"1,177,200",277,"4,249.82"
Peterborough - Kawartha,"1,171,418",304,"3,853.35"
Sherwood Park - Fort Saskatchewan,"1,170,335",203,"5,765.20"
Ahuntsic-Cartierville,"1,158,167",239,"4,845.89"
Calgary-Centre,"1,155,088",235,"4,915.27"
Calgary Rocky Ridge,"1,154,916",318,"3,631.81"
Lac-Saint-Louis,"1,149,624",274,"4,195.71"
Don Valley-Nord,"1,142,840",243,"4,703.05"
Pickering - Uxbridge,"1,139,556",375,"3,038.82"
Sarnia - Lambton,"1,135,947",263,"4,319.19"
Louis-Hébert,"1,128,560",295,"3,825.63"
Newmarket - Aurora,"1,123,998",294,"3,823.12"
Acadie - Bathurst,"1,123,327",322,"3,488.59"
Hamilton-Ouest - Ancaster - Dundas,"1,123,151",228,"4,926.10"
Vancouver Quadra,"1,117,778",208,"5,373.93"
Calgary Midnapore,"1,116,218",340,"3,282.99"
Scarborough - Guildwood,"1,114,704",239,"4,664.03"
Scarborough-Sud-Ouest,"1,113,707",231,"4,821.24"
Scarborough - Rouge Park,"1,112,041",231,"4,814.03"
Lac-Saint-Jean,"1,105,485",291,"3,798.92"
Scarborough-Centre,"1,105,098",241,"4,585.47"
Humber River - Black Creek,"1,101,009",240,"4,587.54"
Dufferin - Caledon,"1,094,964",274,"3,996.22"
Calgary Heritage,"1,093,253",231,"4,732.70"
Cambridge,"1,087,974",250,"4,351.90"
Willowdale,"1,081,015",235,"4,600.06"
Oakville-Nord - Burlington,"1,076,698",162,"6,646.28"
Fredericton,"1,076,399",282,"3,817.02"
Red Deer - Mountain View,"1,073,659",291,"3,689.55"
Sherbrooke,"1,070,822",233,"4,595.80"
Hamilton-Centre,"1,066,507",224,"4,761.19"
Sydney - Victoria,"1,064,721",299,"3,560.94"
Markham - Thornhill,"1,062,534",219,"4,851.75"
St. Catharines,"1,060,684",175,"6,061.05"
Hochelaga,"1,060,562",221,"4,798.92"
Lethbridge,"1,058,753",266,"3,980.27"
Etobicoke-Centre,"1,057,865",187,"5,657.03"
Orléans,"1,053,699",266,"3,961.27"
Windsor - Tecumseh,"1,053,622",266,"3,960.98"
Spadina - Fort York,"1,050,705",262,"4,010.32"
Scarborough - Agincourt,"1,049,283",213,"4,926.21"
Barrie - Springwater - Oro-Medonte,"1,044,756",290,"3,602.61"
Niagara Falls,"1,039,437",283,"3,672.92"
Hamilton Mountain,"1,035,977",172,"6,023.12"
Pierrefonds - Dollard,"1,030,607",229,"4,500.47"
Nepean,"1,027,502",245,"4,193.89"
Thornhill,"1,024,034",242,"4,231.55"
Cape Breton - Canso,"1,023,516",253,"4,045.52"
Baie de Quinte,"1,012,393",262,"3,864.10"
Markham - Stouffville,"1,010,002",249,"4,056.23"
Brantford - Brant,"1,008,158",263,"3,833.30"
Dartmouth - Cole Harbour,"1,002,113",239,"4,192.94"
Markham - Unionville,"1,000,827",266,"3,762.51"
Northumberland - Peterborough-Sud,"990,699",294,"3,369.72"
Winnipeg-Sud,"976,420",291,"3,355.40"
King - Vaughan,"973,383",290,"3,356.49"
Brampton-Est,"972,571",249,"3,905.91"
Simcoe-Nord,"970,740",246,"3,946.10"
Brampton-Centre,"970,635",209,"4,644.19"
Longueuil - Charles-LeMoyne,"970,588",204,"4,757.78"
Etobicoke - Lakeshore,"970,132",210,"4,619.68"
Barrie - Innisfil,"970,066",265,"3,660.63"
Hull - Aylmer,"968,829",232,"4,175.99"
Saint John - Rothesay,"961,825",249,"3,862.75"
Aurora - Oak Ridges - Richmond Hill,"961,185",238,"4,038.59"
Don Valley-Ouest,"960,242",216,"4,445.56"
Scarborough-Nord,"957,129",188,"5,091.11"
Wellington - Halton Hills,"956,146",224,"4,268.51"
Kanata - Carleton,"955,959",250,"3,823.84"
Beaches - East York,"954,825",204,"4,680.51"
Saint-Léonard - Saint-Michel,"951,090",198,"4,803.48"
Trois-Rivières,"948,560",207,"4,582.42"
Miramichi - Grand Lake,"947,780",260,"3,645.31"
Calgary Skyview,"940,646",247,"3,808.28"
Kitchener-Centre,"936,949",166,"5,644.27"
Stormont - Dundas - South Glengarry,"936,781",254,"3,688.11"
Richmond Hill,"927,962",228,"4,070.01"
Gatineau,"926,716",219,"4,231.58"
Essex,"923,860",285,"3,241.61"
Edmonton Mill Woods,"922,450",220,"4,192.95"
Burlington,"920,509",209,"4,404.35"
Flamborough - Glanbrook,"916,204",205,"4,469.29"
Bourassa,"915,834",207,"4,424.32"
Dorval - Lachine - LaSalle,"915,426",202,"4,531.81"
Nickel Belt,"914,334",277,"3,300.84"
Nova-Centre,"914,119",261,"3,502.37"
Surrey-Centre,"913,506",178,"5,132.06"
Calgary Nose Hill,"913,330",232,"3,936.77"
Banff - Airdrie,"913,255",271,"3,369.94"
Sault Ste. Marie,"912,854",259,"3,524.53"
Rosemont - La Petite-Patrie,"912,037",184,"4,956.72"
Skeena - Bulkley Valley,"908,411",205,"4,431.27"
Chicoutimi - Le Fjord,"908,263",190,"4,780.33"
Simcoe - Grey,"907,947",262,"3,465.45"
Vimy,"906,055",209,"4,335.19"
St. Albert - Edmonton,"905,608",257,"3,523.77"
Haliburton - Kawartha Lakes - Brock,"902,684",230,"3,924.71"
Mont-Royal,"898,989",211,"4,260.61"
Moncton - Riverview - Dieppe,"894,842",229,"3,907.61"
Jonquière,"893,859",205,"4,360.29"
Parry Sound - Muskoka,"890,940",235,"3,791.23"
Brampton-Ouest,"889,782",215,"4,138.52"
Don Valley-Est,"888,224",186,"4,775.40"
Hamilton-Est - Stoney Creek,"887,419",169,"5,251.00"
Victoria,"886,539",198,"4,477.47"
Burnaby-Sud,"885,785",166,"5,336.05"
Bruce - Grey - Owen Sound,"885,657",274,"3,232.32"
Beauséjour,"883,789",254,"3,479.48"
York-Sud - Weston,"880,893",181,"4,866.81"
Cariboo - Prince George,"876,215",204,"4,295.17"
Kitchener-Sud - Hespeler,"874,026",214,"4,084.23"
Toronto - St. Paul's,"873,177",199,"4,387.82"
Nova-Ouest,"872,221",239,"3,649.46"
Edmonton Riverbend,"871,108",229,"3,803.97"
Edmonton - Wetaskiwin,"868,800",256,"3,393.75"
Sudbury,"867,756",199,"4,360.58"
Surrey - Newton,"865,195",143,"6,050.31"
York - Simcoe,"861,422",166,"5,189.29"
Edmonton-Ouest,"860,108",201,"4,279.14"
Calgary Forest Lawn,"859,588",234,"3,673.45"
Terrebonne,"859,064",262,"3,278.87"
Pontiac,"854,026",242,"3,529.03"
Halifax-Ouest,"852,531",218,"3,910.69"
Renfrew - Nipissing - Pembroke,"851,359",273,"3,118.53"
Mississauga-Est - Cooksville,"850,021",216,"3,935.28"
Leeds - Grenville - Thousand Islands et Rideau Lakes,"849,046",194,"4,376.53"
Calgary Signal Hill,"846,449",229,"3,696.28"
Battle River - Crowfoot,"840,178",252,"3,334.04"
Saint-Laurent,"838,612",196,"4,278.63"
Burnaby-Nord - Seymour,"837,509",187,"4,478.66"
